"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"","","","","","","","","","","","","","","","Rotten Tomatoes","0%","","","","","","","","","","","",""
"381","Out for Justice","1991","R","12 Apr 1991","91 min","Action, Crime, Drama, Thriller","John Flynn","R. Lance Hill","Steven Seagal, William Forsythe, Jerry Orbach, Jo Champa","The gruesome murder of a Brooklyn Detective will turn the case into a personal vendetta when the deceased's best friend and fellow officer will unleash an all-out attack against a psychotic Mafia enforcer's brutal gang.","English, Italian, Spanish","USA","N/A","https://m.media-amazon.com/images/M/MV5BMzAzMTU0YWEtYzE2ZC00OGQyLWJhNjEtZDY1Y2YzYzBiZDIxXkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_SX300.jpg","Internet Movie Database","6.1/10","38","6.1","21,067","tt0102614","movie","N/A","N/A","Warner Bros., Seagal/Nasso Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","23%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","38/100","","","","","","","","","","","",""
"382","Buried in the Sand: The Deception of America","2004","N/A","21 Sep 2004","90 min","Documentary, War","David Wald","Rob Cartee","Mark Taylor, Ted Kennedy, Saddam Hussein, George W. Bush","Conservative political commentator Mark Taylor presents uncensored archival footage of graphic Iraqi and Middle East atrocities in an effort to justify American intervention.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjEyNDAxNDkwOV5BMl5BanBnXkFtZTcwODAzOTk2MQ@@._V1_SX300.jpg","Internet Movie Database","5.1/10","N/A","5.1","56","tt0436149","movie","N/A","N/A","N/A","N/A","True","",""
"383","Hit Team","2001","Not Rated","22 Feb 2001","94 min","Action","Dante Lam","Dante Lam (story), Clarence Lee (screenplay), Wai Lun Ng (screenplay)","Daniel Wu, Alex To, Samuel Pang, Tony Ho","An undercover cop badly injured in a raid is blamed for the raid's failure and thrown out of the police department. His injuries result in his being paralyzed form the waist down, and ...","Cantonese, English","Hong Kong","N/A","https://m.media-amazon.com/images/M/MV5BMTQ0MzE2NTQxNl5BMl5BanBnXkFtZTcwNDY4NTMyMQ@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","209","tt0283287","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","53%","","","","","","","","","","","",""
"384","Crossroads","1986","R","14 Mar 1986","99 min","Drama, Music, Mystery, Romance","Walter Hill","John Fusco","Ralph Macchio, Joe Seneca, Jami Gertz, Joe Morton","Ralph Macchio is Lightning Boy. A kid who can make a slide guitar sing. Blind Dog is an old pro who knows it. Together, they're headed to a place where deals are made. And legends are born.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMDg3MmVmNmUtMzI4NC00NDY1LTg5YTAtMDJiODJlNmM0MTAwXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg","Internet Movie Database","7.1/10","55","7.1","13,962","tt0090888","movie","N/A","N/A","Columbia, TriStar Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","73%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","55/100","","","","","","","","","","","",""
"385","The Santa Clause 2","2002","G","01 Nov 2002","104 min","Comedy, Family, Fantasy","Michael Lembeck","Don Rhymer (screenplay), Cinco Paul (screenplay), Ken Daurio (screenplay), Ed Decter (screenplay), John J. Strauss (screenplay), Leo Benvenuti (characters), Steve Rudnick (characters), Leo Benvenuti (story), Steve Rudnick (story)","Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.","English","USA, Canada","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_SX300.jpg","Internet Movie Database","5.6/10","48","5.6","48,397","tt0304669","movie","N/A","N/A","Buena Vista (Walt Disney)","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","56%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","48/100","","","","","","","","","","","",""
"386","Princess Caraboo","1994","PG","16 Sep 1994","97 min","Comedy, Drama, History, Mystery, Romance","Michael Austin","Michael Austin, John Wells","Jim Broadbent, Phoebe Cates, Wendy Hughes, Kevin Kline","Bristol, England, early 19th century. A beautiful young stranger who speaks a weird language is tried for the crime of begging. But when a man claims that he can translate her dialect, it ...","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BZmYwNTA4N2ItN2ExMi00MDg0LWJhOTYtMTg3ZjY2ZWRiODZmXkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_SX300.jpg","Internet Movie Database","6.0/10","N/A","6.0","2,431","tt0110892","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","63%","","","","","","","","","","","",""
"387","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"388","Body Chemistry","1990","R","09 Mar 1990","84 min","Drama, Thriller","Kristine Peterson","Jackson Barr","Marc Singer, Lisa Pescia, Mary Crosby, David Kagen","A research project on sexual response leads two doctors into an affair where their deepest passions and darkest fantasies are revealed.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTgwNTg3ODg4NV5BMl5BanBnXkFtZTcwMTQ4OTUxMQ@@._V1_SX300.jpg","Internet Movie Database","4.3/10","N/A","4.3","363","tt0099164","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","40%","","","","","","","","","","","",""
"389","Steal","2002","R","08 May 2002","83 min","Action, Crime, Thriller","Gérard Pirès","Mark Ezra (adaptation), Mark Ezra, Gérard Pirès (adaptation)","Stephen Dorff, Natasha Henstridge, Bruce Payne, Steven Berkoff","A gang of extreme sportsmen raises the stakes in their criminal activities.","English","France, UK, Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTg1NjYwOTA4MF5BMl5BanBnXkFtZTcwNzk1MjgyMQ@@._V1_SX300.jpg","Internet Movie Database","5.5/10","N/A","5.5","5,679","tt0282552","movie","N/A","N/A","Filmguard, Spice Factory, Fusion International, Mandarin Films, Scion Films, Future Film Financing, Alliance Atlantis Communications, Transfilm, Spice Favoy, Téléfilm Canada","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","29%","","","","","","","","","","","",""
"390","The Fan","1981","R","15 May 1981","95 min","Drama, Horror, Thriller","Ed Bianchi","Bob Randall (novel), Priscilla Chapman, John Hartwell","Lauren Bacall, James Garner, Maureen Stapleton, Hector Elizondo","Douglas, a record salesman, is an obsessive fan of actress Sally Ross. When his letters are rejected, he strikes out at her and her loved ones.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMWJkYzYwNTYtNjU0MS00MGJmLTgyZDgtYTIyOTZmZWU0YjE5XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","1,959","tt0082362","movie","N/A","N/A","Paramount","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","38%","","","","","","","","","","","",""
"392","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"393","The Replacement Killers","1998","R","06 Feb 1998","87 min","Action, Crime, Thriller","Antoine Fuqua","Ken Sanzel","Yun-Fat Chow, Mira Sorvino, Michael Rooker, Kenneth Tsang","A troubled hitman seeks aid from a forger to help him get papers to China. However, the drug lord has hired replacements to finish the job, and kill the hitman.","English, Cantonese","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BYmM5YmI0NzYtNDViNi00MzIwLWJhOGUtZTJmMmY5ZmUzZmQ3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg","Internet Movie Database","6.2/10","42","6.2","26,699","tt0120008","movie","N/A","N/A","Columbia Pictures, WCG Entertainment Productions, Brillstein-Grey Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","36%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","42/100","","","","","","","","","","","",""
"395","Captain Blood","1935","Passed","28 Dec 1935","119 min","Action, Adventure","Michael Curtiz","Rafael Sabatini (by), Casey Robinson (screen play)","Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone","After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate.","English, French","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjMwNDc1MzMyNV5BMl5BanBnXkFtZTgwODUzMjU1MzE@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","12,791","tt0026174","movie","N/A","N/A","Warner Brothers/Seven Arts","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","100%","","","","","","","","","","","",""
"397","A Night in Casablanca","1946","Passed","12 Oct 1946","85 min","Comedy","Archie Mayo","Joseph Fields (original screenplay), Roland Kibbee (original screenplay)","Groucho Marx, Harpo Marx, Chico Marx, Charles Drake","The Marx Brothers are employed at a hotel in postwar Casablanca, where a ring of Nazis is trying to recover a cache of stolen treasure.","English, French, German","USA","N/A","https://m.media-amazon.com/images/M/MV5BYTYwMDA1ZWEtMGVjOC00ZjQyLTllOGItM2IwYzNkYzFlYzliXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","5,900","tt0038777","movie","N/A","N/A","Universal/Universal Int","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","57%","","","","","","","","","","","",""
"398","In the Realm of the Senses","1976","NC-17","01 Apr 1977","109 min","Drama, Romance","Nagisa Ôshima","Nagisa Ôshima","Tatsuya Fuji, Eiko Matsuda, Aoi Nakajima, Yasuko Matsui","A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.","Japanese","Japan, France","4 wins.","https://m.media-amazon.com/images/M/MV5BYWZmOWU0ZTktYTRjOC00ZmMwLTk5ZTQtNDM0Y2VhOWM4M2NjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","Internet Movie Database","6.6/10","N/A","6.6","17,956","tt0074102","movie","N/A","N/A","Argos Films, Shibata Organisation Inc. [jp], Oshima Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","86%","","","","","","","","","","","",""
"400","Rio Lobo","1970","G","18 Dec 1970","114 min","Adventure, Romance, War, Western","Howard Hawks","Burton Wohl (screenplay), Leigh Brackett (screenplay), Burton Wohl (story)","John Wayne, Jorge Rivero, Jennifer O'Neill, Jack Elam","After the Civil War, Cord McNally searches for the traitor whose treachery caused the defeat of McNally's unit and the loss of a close friend.","English, Spanish","USA, Mexico","N/A","https://m.media-amazon.com/images/M/MV5BMGY3N2I3MTgtNDRiMS00MDZhLWJmYTgtZjEwNDdkMDZhYjAzXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg","Internet Movie Database","6.8/10","55","6.8","10,413","tt0066301","movie","N/A","N/A","Batjac Productions, Malabar, Cinema Center Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","68%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","55/100","","","","","","","","","","","",""
"401","Halloween 5: The Revenge of Michael Myers","1989","R","13 Oct 1989","96 min","Horror, Thriller","Dominique Othenin-Girard","John Carpenter (characters), Debra Hill (characters), Michael Jacobs, Dominique Othenin-Girard, Shem Bitterman","Donald Pleasence, Danielle Harris, Ellie Cornell, Beau Starr","One year after the events of Halloween 4: The Return of Michael Myers (1988), the Shape returns to Haddonfield once again in an attempt to kill his now-mute niece.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BZWE2YTU2ZjMtZjRjOS00NjQ3LWIyYzItMTk2N2YxMjY1ZGRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.2/10","28","5.2","34,095","tt0097474","movie","N/A","N/A","Magnum, Trancas International Films Inc.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","13%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","28/100","","","","","","","","","","","",""
"402","Pan Tadeusz: The Last Foray in Lithuania","1999","Not Rated","21 Jan 2000","147 min","Drama, History, Romance, War","Andrzej Wajda","Adam Mickiewicz (poem), Jan Nowina-Zarzycki, Andrzej Wajda, Piotr Weresniak","Boguslaw Linda, Daniel Olbrychski, Grazyna Szapolowska, Andrzej Seweryn","In the early 1810s, Poles, part of Russia's client state of Lithuania, think independence will come if they join forces with Napoleon when he invades Russia. This unity of purpose, in one ...","Polish","Poland, France","7 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMTgyMTgxMTY2MF5BMl5BanBnXkFtZTcwOTUwNzcyMQ@@._V1_SX300.jpg","Internet Movie Database","6.0/10","N/A","6.0","2,839","tt0170351","movie","N/A","N/A","Cinematography Committee APF, Silesia Film, Apollo Films Ltd., Film Production Agency, Neptun Film, Vision Film Productions, Les Films du Losange, Heritage Films, Max Films Productions, Le Studio Canal +, Odra Film, Canal+ Polska","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","52%","","","","","","","","","","","",""
"404","The Shaft","2001","R","06 Sep 2001","111 min","Action, Horror, Mystery, Sci-Fi, Thriller","Dick Maas","Dick Maas","James Marshall, Naomi Watts, Eric Thal, Michael Ironside","When the elevators in New York's 102-story Millennium Building start to malfunction, mechanic Mark Newman is sent to find the cause. After a series of gruesome and deadly ""accidents"" occur, Mark joins forces with spunky reporter Jennifer.","English","USA, Netherlands","N/A","https://m.media-amazon.com/images/M/MV5BODU3NTc2OTItYmU1ZC00MDY4LTg3MzAtNzM0MjE4MDRkMWViXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","4.5/10","N/A","4.5","3,941","tt0247303","movie","N/A","N/A","First Floor Features","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","20%","","","","","","","","","","","",""
"405","Wings of Desire","1987","PG-13","06 May 1988","128 min","Drama, Fantasy, Romance","Wim Wenders","Wim Wenders (screenplay by), Peter Handke (screenplay by)","Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois","An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.","German, English, French, Turkish, Hebrew, Spanish, Japanese","West Germany, France","Nominated for 1 BAFTA Film Award. Another 19 wins & 13 nominations.","https://m.media-amazon.com/images/M/MV5BMzMxZjUzOGQtOTFlOS00MzliLWJhNTUtOTgyNzYzMWQ2YzhmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.0/10","79","8.0","63,505","tt0093191","movie","N/A","N/A","Argos Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","98%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","79/100","","","","","","","","","","","",""
"406","Hostage","2005","R","11 Mar 2005","113 min","Action, Crime, Drama, Thriller","Florent-Emilio Siri","Robert Crais (novel), Doug Richardson (screenplay)","Bruce Willis, Kevin Pollak, Jimmy Bennett, Michelle Horn","When a family is held hostage, former hostage negotiator Jeff Talley arrives at the scene. Talley's own family is kidnapped and Talley must decide which is more important: saving a family he doesn't even know or saving his own family.","English","USA, Germany","4 nominations.","https://m.media-amazon.com/images/M/MV5BNmE3NTEzODUtMTJjMC00ODk3LTk4MzMtNmY5Mjg4M2M4OThhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","Internet Movie Database","6.6/10","44","6.6","105,676","tt0340163","movie","N/A","N/A","Stratus Films, Cheyenne Enterprises","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","35%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","44/100","","","","","","","","","","","",""
"407","The Abductors","1972","R","28 Jan 1972","90 min","Action, Drama","Don Schain","Don Schain","Cheri Caffaro, Richard Smedley, Patrick Wright, Laurie Rose","Cheerleaders and models are kidnapped & sold by a white slavery ring. Female agent is sent to rescue them.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYTY1MzI3OTAtMTlmYS00MWY0LTg5ZmEtZDM1NzhkN2FiOGY5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","5.0/10","N/A","5.0","369","tt0068164","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","33%","","","","","","","","","","","",""
"408","Nightbreed","1990","R","16 Feb 1990","102 min","Action, Fantasy, Horror","Clive Barker","Clive Barker (novel), Clive Barker (screenplay)","Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid","A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.","English","USA, UK, Canada","7 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BMmFlMWFiM2ItNWQ1Yy00ZDE2LWEzNmUtOTE0MDM4YjVjNmYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.6/10","40","6.6","19,307","tt0100260","movie","N/A","N/A","Morgan Creek Entertainment, Seraphim Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","39%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","40/100","","","","","","","","","","","",""
"409","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"410","Frank Lloyd Wright","1998","TV-PG","23 Jan 1998","146 min","Documentary, Biography, History","Ken Burns, Lynn Novick","Geoffrey C. Ward","Edward Herrmann, Philip Bosco, Julie Harris, Sab Shimono","A biography of the life and work of the American architect.","English","USA","Nominated for 1 Primetime Emmy. Another 3 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMTI2MzkyMDU5OV5BMl5BanBnXkFtZTcwNjc4MzgxMQ@@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","597","tt0144937","movie","29 Jul 2008","N/A","N/A","N/A","True","",""
"411","Vendetta","1999","R","03 Jul 1999","117 min","Drama","Nicholas Meyer","Richard Gambino (book), Timothy Prager (teleplay)","Christopher Walken, Luke Askew, Clancy Brown, Alessandro Colla","Based on a true tale of power, corruption and murder, Christopher Walken stars in the story of the largest lynching in American history...","English, Italian","USA","N/A","https://m.media-amazon.com/images/M/MV5BNDg1MTk0NTA4N15BMl5BanBnXkFtZTcwMDg1MTEyMQ@@._V1_SX300.jpg","Internet Movie Database","6.1/10","N/A","6.1","964","tt0162735","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","62%","","","","","","","","","","","",""
"413","Igby Goes Down","2002","R","04 Oct 2002","98 min","Comedy, Drama","Burr Steers","Burr Steers","Kieran Culkin, Claire Danes, Jeff Goldblum, Jared Harris","A young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up.","English","USA","Nominated for 2 Golden Globes. Another 7 wins & 15 nominations.","https://m.media-amazon.com/images/M/MV5BMTUwNTk2NjY0NF5BMl5BanBnXkFtZTcwMjQ3MTI0NA@@._V1_SX300.jpg","Internet Movie Database","6.9/10","72","6.9","31,703","tt0280760","movie","N/A","N/A","Metro-Goldwyn-Mayer, United Artists","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","76%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","72/100","","","","","","","","","","","",""
"415","Reign in Darkness","2002","R","05 Nov 2002","90 min","Action, Horror, Sci-Fi","David W. Allen, Kelly Dolen","David W. Allen, Kelly Dolen","Kelly Dolen, David W. Allen, David William No, Chris Kerrison","Molecular biologist Michael Dorn is accidentally infected with a new virus he is developing, turning him and its other victims into a new breed of vampire.","English","Australia","N/A","https://m.media-amazon.com/images/M/MV5BNTk5MTMwNTA5Ml5BMl5BanBnXkFtZTcwNjE5NTU3Nw@@._V1_SX300.jpg","Internet Movie Database","2.5/10","N/A","2.5","357","tt0351639","movie","N/A","N/A","Warner Brothers/Seven Arts","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","9%","","","","","","","","","","","",""
"416","Elephant","2003","R","14 Nov 2003","81 min","Crime, Drama, Thriller","Gus Van Sant","Gus Van Sant","Alex Frost, Eric Deulen, John Robinson, Elias McConnell","Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.","English, German","USA","8 wins & 13 nominations.","https://m.media-amazon.com/images/M/MV5BZWRhNDZkMzQtZDQ3Ny00NjdjLWJmZjAtMWQxNDQyZTYzZjU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","70","7.2","84,889","tt0363589","movie","N/A","N/A","HBO Theatrical Documentary","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","73%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","70/100","","","","","","","","","","","",""
"418","The Deal","2004","N/A","15 Oct 2004","10 min","Drama, Short","Jimmy Weedon","Jimmy Weedon","Bernard Hill, Sean Gallagher, Miranda Raison","N/A","English","UK","N/A","N/A","Internet Movie Database","4.7/10","N/A","4.7","6","tt0432269","movie","N/A","N/A","N/A","N/A","True","",""
"422","The Unsinkable Molly Brown","1964","Approved","11 Jun 1964","128 min","Biography, Comedy, Musical, Romance, Western","Charles Walters","Helen Deutsch, Richard Morris (play)","Debbie Reynolds, Harve Presnell, Ed Begley, Jack Kruschen","A poor, uneducated mountain girl leaves her cabin in search of respect, a wealthy husband, and a better life in this fictionalized biopic of Margaret ""Molly"" Brown, who survived the 1912 sinking of the RMS Titanic.","English","USA","Nominated for 6 Oscars. Another 5 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMWMxMjQ2YTMtNDRkNC00ODNjLWI4ODItODFmNDU3OWJhYWIwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","3,308","tt0058708","movie","N/A","N/A","Metro Goldwyn Mayer","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","78%","","","","","","","","","","","",""
"423","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"424","Happiness","1998","Unrated","16 Oct 1998","134 min","Comedy, Drama","Todd Solondz","Todd Solondz","Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.","English, Russian","USA","Nominated for 1 Golden Globe. Another 12 wins & 25 nominations.","https://m.media-amazon.com/images/M/MV5BM2FlNzE0ZmUtMmVkZS00MWQ3LWE4OWQtYjQwZjdhNzRmNWE2XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","Internet Movie Database","7.7/10","81","7.7","65,526","tt0147612","movie","N/A","N/A","Good Machine, Killer Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","81%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","81/100","","","","","","","","","","","",""
"425","The 10th Kingdom","2000","Not Rated","27 Feb 2000","417 min","Adventure, Comedy, Family, Fantasy, Mystery, Romance","N/A","N/A","Dianne Wiest, Daniel Lapaine, Kimberly Williams-Paisley, Scott Cohen","A father and daughter are caught in a parallel universe where the great Queens Snow White (Camryn Manheim), Cinderella (Ann-Margret), and Riding Hood III (Kim Thomson) have had their kingdoms fragmented by warring trolls, giants, and goblins.","English","UK, Germany, USA","Won 1 Primetime Emmy. Another 4 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMTc4NTcyNzgwMV5BMl5BanBnXkFtZTcwMTU4NjUyMQ@@._V1_SX300.jpg","Internet Movie Database","8.3/10","N/A","8.3","17,186","tt0207275","series","","","","","True","","1"
"426","Recess: School's Out","2001","G","16 Feb 2001","82 min","Animation, Comedy, Family","Chuck Sheetz","Paul Germain (television series Recess), Joe Ansolabehere (television series Recess), Paul Germain (story), Joe Ansolabehere (story), Jonathan Greenberg (story), Jonathan Greenberg (screenplay)","Rickey D'Shon Collins, Jason Davis, Ashley Johnson, Andrew Lawrence","TJ and company must save summer vacation from disappearing forever.","English","USA, Japan","N/A","https://m.media-amazon.com/images/M/MV5BN2M5NDQ2YjktNmI0Zi00ODBmLWIyZGQtYTk3Y2EyYTM0ZTUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.6/10","43","6.6","9,313","tt0265632","movie","N/A","N/A","Walt Disney Television Animation","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","60%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","43/100","","","","","","","","","","","",""
"427","Graveyard Shift","1990","R","26 Oct 1990","89 min","Horror","Ralph S. Singleton","Stephen King (short story), John Esposito (screenplay)","David Andrews, Kelly Wolf, Stephen Macht, Andrew Divoff","In a very old textile mill with a serious rat infestation, deadly accidents start happening, but the corrupt foreman continues to put his workers in danger, until they discover a horrifying secret deep in the basement.","English","USA, Japan","1 nomination.","https://m.media-amazon.com/images/M/MV5BNGE0YjdhZTAtZDI0ZC00ZDk1LTkyZjgtMWE1OTJkYWZiNjA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.0/10","28","5.0","9,683","tt0099697","movie","N/A","N/A","Paramount","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","13%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","28/100","","","","","","","","","","","",""
"428","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"429","Zeus and Roxanne","1997","PG","24 Jan 1997","98 min","Adventure, Comedy, Family, Romance","George Miller","Tom Benedek","Steve Guttenberg, Kathleen Quinlan, Arnold Vosloo, Dawn McMillan","A touching friendship story between a dog and a dolphin.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjU4MmNhNWMtOGZjZi00NDU1LTg5M2UtYWY5YmY3MjQwNzk5XkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg","Internet Movie Database","5.3/10","N/A","5.3","2,766","tt0120550","movie","N/A","N/A","Metro Goldwyn Mayer, Rysher Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","44%","","","","","","","","","","","",""
"430","Chobits","2002–","TV-14","02 Apr 2002","30 min","Animation, Comedy, Drama, Romance, Sci-Fi","N/A","N/A","Rie Tanaka, Crispin Freeman, Tomokazu Sugita, Karen Strassman","Hideki finds the discarded and malfunctioning Persocom Chi, a personal computer that looks like a girl. While trying to fix and care for Chi, Hideki discovers that she might be a Chobits, a robot of urban legend that has free will.","Japanese, English","Japan","N/A","https://m.media-amazon.com/images/M/MV5BMjE1NzY1MDAwNl5BMl5BanBnXkFtZTcwNjY5NjIzMQ@@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","4,064","tt0326672","series","","","","","True","","1"
